eur_in_forward[0],eur_in_call[0],eur_in_call[1],eur_in_call[2],f
13789686.783068694,96476.0103329819,13845116.1426117,0.0,820621.9559559111
13694236.022638824,678139.2841380227,13280965.416728962,0.0,823851.1269844671
13923761.073471855,232603.81693479966,13323399.690589027,368183.23279389925,819078.7546751591
14048287.599770987,37184.351147440524,13622925.684956605,0.0,804958.9292556834
13976233.06178583,0.0,13438979.683964,330107.17598569504,815288.9091818846
13909720.937567355,97406.40033953026,13775880.602924978,0.0,817439.8795081124
13941759.62099096,149050.42975982805,13484862.539003389,0.0,804198.623275721
13829065.19416446,357581.9052568611,13392240.246844629,295258.96902180417,823580.4101818261
13877388.453505872,0.0,13800554.694302391,92350.94088511374,822579.8547731047
13835098.491106415,0.0,13848489.496576041,0.0,814787.9183358756
14019093.79255804,0.0,13357491.603498464,440057.22342645907,815016.0153283004
14036768.65236763,0.0,13656906.092785345,0.0,807723.9778509778
13744817.403811794,320236.05651604885,13647632.6505728,0.0,820840.4293883378
13921837.917668236,0.0,13651249.407100068,194809.81980668948,811947.1382874665
13941524.237675056,0.0,13570268.453578549,303419.5566857554,824667.0959682196
13898900.549278963,83335.97613217245,13648407.97667581,91117.33581261599,813740.2620234955
